imp_type,pp_coef,random_state,data_split,dataset
shap,,9,0,wine
pearson,,9,0,wine
spearman,,9,0,wine
kendall,,9,0,wine
pps,,9,0,wine
gini,0.9439252336448598,0,2,wine
mutual_info,0.9439252336448598,0,2,wine
f_test,0.8324693275713828,0,2,wine
pimp,0.8644859813084113,0,2,wine
shap,0.9439252336448598,0,2,wine
pearson,0.6635514018691588,0,2,wine
spearman,0.6635514018691588,0,2,wine
kendall,0.6635514018691588,0,2,wine
pps,0.389801359395209,0,2,wine
gini,0.9439252336448598,1,2,wine
mutual_info,0.9439252336448598,1,2,wine
f_test,0.8618053981688406,1,2,wine
pimp,0.9439252336448598,1,2,wine
shap,0.9439252336448598,1,2,wine
pearson,0.6347097985455754,1,2,wine
spearman,0.6347097985455754,1,2,wine
kendall,0.6347097985455754,1,2,wine
pps,0.4155004991196387,1,2,wine
gini,0.9439252336448598,2,2,wine
mutual_info,0.9439252336448598,2,2,wine
f_test,0.8618053981688406,2,2,wine
pimp,0.8619272874681364,2,2,wine
shap,0.8619272874681364,2,2,wine
pearson,0.6635514018691588,2,2,wine
spearman,0.6635514018691588,2,2,wine
kendall,0.6635514018691588,2,2,wine
pps,0.3886648790538204,2,2,wine
gini,0.9439252336448598,3,2,wine
mutual_info,0.9439252336448598,3,2,wine
f_test,0.8618053981688406,3,2,wine
pimp,0.8098021567650445,3,2,wine
shap,0.9439252336448598,3,2,wine
pearson,0.667017081967045,3,2,wine
spearman,0.667017081967045,3,2,wine
kendall,0.667017081967045,3,2,wine
pps,0.4155004991196387,3,2,wine
gini,0.9724266636659408,4,2,wine
mutual_info,0.9724266636659408,4,2,wine
f_test,0.8618053981688406,4,2,wine
pimp,0.9724266636659408,4,2,wine
shap,0.9724266636659408,4,2,wine
pearson,0.667017081967045,4,2,wine
spearman,0.667017081967045,4,2,wine
kendall,0.667017081967045,4,2,wine
pps,0.3886648790538204,4,2,wine
gini,0.9439252336448598,5,2,wine
mutual_info,0.9439252336448598,5,2,wine
f_test,0.8618053981688406,5,2,wine
pimp,0.9439252336448598,5,2,wine
shap,0.9439252336448598,5,2,wine
pearson,0.6635514018691588,5,2,wine
spearman,0.6635514018691588,5,2,wine
kendall,0.6635514018691588,5,2,wine
pps,0.3886648790538204,5,2,wine
gini,0.9724266636659408,6,2,wine
mutual_info,0.9724266636659408,6,2,wine
f_test,0.8618053981688406,6,2,wine
pimp,0.9724266636659408,6,2,wine
shap,0.9724266636659408,6,2,wine
pearson,0.667017081967045,6,2,wine
spearman,0.667017081967045,6,2,wine
kendall,0.667017081967045,6,2,wine
pps,0.3886648790538204,6,2,wine
gini,0.9724266636659408,7,2,wine
mutual_info,0.9724266636659408,7,2,wine
f_test,0.8884859552210459,7,2,wine
pimp,0.8355476385923448,7,2,wine
shap,0.9724266636659408,7,2,wine
pearson,0.6352771301958874,7,2,wine
spearman,0.6352771301958874,7,2,wine
kendall,0.6352771301958874,7,2,wine
pps,0.4155004991196387,7,2,wine
gini,0.9724266636659408,8,2,wine
mutual_info,0.9724266636659408,8,2,wine
f_test,0.8324693275713828,8,2,wine
pimp,0.8098021567650445,8,2,wine
shap,0.9724266636659408,8,2,wine
pearson,0.6635514018691588,8,2,wine
spearman,0.6635514018691588,8,2,wine
kendall,0.6635514018691588,8,2,wine
pps,0.3886648790538204,8,2,wine
gini,0.9724266636659408,9,2,wine
mutual_info,0.8919414468163973,9,2,wine
f_test,0.8919414468163973,9,2,wine
pimp,0.9443308692101028,9,2,wine
shap,0.9724266636659408,9,2,wine
pearson,0.6929075533022723,9,2,wine
spearman,0.6929075533022723,9,2,wine
kendall,0.6929075533022723,9,2,wine
pps,0.4202581384225354,9,2,wine
