imp_type,random_state,data_split,dataset,max_dropped
pimp,7,2,wine,0.6153846153846154
shap,7,2,wine,0.6153846153846154
pearson,7,2,wine,0.07692307692307687
spearman,7,2,wine,0.07692307692307687
kendall,7,2,wine,0.0
pps,7,2,wine,0.23076923076923073
gini,8,2,wine,0.6153846153846154
mutual_info,8,2,wine,0.5384615384615384
f_test,8,2,wine,0.6153846153846154
pimp,8,2,wine,0.6153846153846154
shap,8,2,wine,0.6153846153846154
pearson,8,2,wine,0.07692307692307687
spearman,8,2,wine,0.07692307692307687
kendall,8,2,wine,0.0
pps,8,2,wine,0.23076923076923073
gini,9,2,wine,0.46153846153846156
mutual_info,9,2,wine,0.46153846153846156
f_test,9,2,wine,0.6153846153846154
pimp,9,2,wine,0.0
shap,9,2,wine,0.6153846153846154
pearson,9,2,wine,0.15384615384615385
spearman,9,2,wine,0.15384615384615385
kendall,9,2,wine,0.15384615384615385
pps,9,2,wine,0.23076923076923073
gini,0,3,wine,0.6923076923076923
mutual_info,0,3,wine,0.6923076923076923
f_test,0,3,wine,0.6153846153846154
pimp,0,3,wine,0.6923076923076923
shap,0,3,wine,0.6923076923076923
pearson,0,3,wine,0.23076923076923073
spearman,0,3,wine,0.23076923076923073
kendall,0,3,wine,0.23076923076923073
pps,0,3,wine,0.3076923076923077
gini,1,3,wine,0.6923076923076923
mutual_info,1,3,wine,0.6923076923076923
f_test,1,3,wine,0.6153846153846154
pimp,1,3,wine,0.6923076923076923
shap,1,3,wine,0.6923076923076923
pearson,1,3,wine,0.23076923076923073
spearman,1,3,wine,0.23076923076923073
kendall,1,3,wine,0.23076923076923073
pps,1,3,wine,0.3076923076923077
gini,2,3,wine,0.6923076923076923
mutual_info,2,3,wine,0.6923076923076923
f_test,2,3,wine,0.6153846153846154
pimp,2,3,wine,0.7692307692307692
shap,2,3,wine,0.6923076923076923
pearson,2,3,wine,0.15384615384615385
spearman,2,3,wine,0.15384615384615385
kendall,2,3,wine,0.15384615384615385
pps,2,3,wine,0.3076923076923077
gini,3,3,wine,0.6923076923076923
mutual_info,3,3,wine,0.6923076923076923
f_test,3,3,wine,0.6153846153846154
pimp,3,3,wine,0.6153846153846154
shap,3,3,wine,0.6153846153846154
pearson,3,3,wine,0.23076923076923073
spearman,3,3,wine,0.23076923076923073
kendall,3,3,wine,0.23076923076923073
