imp_type,max_perc,random_state,data_split,dataset
pps,,4,0,breast_cancer
gini,,5,0,breast_cancer
mutual_info,,5,0,breast_cancer
f_test,,5,0,breast_cancer
pimp,,5,0,breast_cancer
shap,,5,0,breast_cancer
pearson,,5,0,breast_cancer
spearman,,5,0,breast_cancer
kendall,,5,0,breast_cancer
pps,,5,0,breast_cancer
gini,,6,0,breast_cancer
mutual_info,,6,0,breast_cancer
f_test,,6,0,breast_cancer
pimp,,6,0,breast_cancer
shap,,6,0,breast_cancer
pearson,,6,0,breast_cancer
spearman,,6,0,breast_cancer
kendall,,6,0,breast_cancer
pps,,6,0,breast_cancer
gini,,7,0,breast_cancer
mutual_info,,7,0,breast_cancer
f_test,,7,0,breast_cancer
pimp,,7,0,breast_cancer
shap,,7,0,breast_cancer
pearson,,7,0,breast_cancer
spearman,,7,0,breast_cancer
kendall,,7,0,breast_cancer
pps,,7,0,breast_cancer
gini,,8,0,breast_cancer
mutual_info,,8,0,breast_cancer
f_test,,8,0,breast_cancer
pimp,,8,0,breast_cancer
shap,,8,0,breast_cancer
pearson,,8,0,breast_cancer
spearman,,8,0,breast_cancer
kendall,,8,0,breast_cancer
pps,,8,0,breast_cancer
gini,,9,0,breast_cancer
mutual_info,,9,0,breast_cancer
f_test,,9,0,breast_cancer
pimp,,9,0,breast_cancer
shap,,9,0,breast_cancer
pearson,,9,0,breast_cancer
spearman,,9,0,breast_cancer
kendall,,9,0,breast_cancer
pps,,9,0,breast_cancer
gini,0.040092347744533186,0,2,breast_cancer
mutual_info,0.040092347744533186,0,2,breast_cancer
f_test,0.040092347744533186,0,2,breast_cancer
pimp,0.040092347744533186,0,2,breast_cancer
shap,0.05358369863936763,0,2,breast_cancer
pearson,0.040092347744533186,0,2,breast_cancer
spearman,0.040092347744533186,0,2,breast_cancer
kendall,0.040092347744533186,0,2,breast_cancer
pps,0.0,0,2,breast_cancer
gini,0.03975048982007223,1,2,breast_cancer
mutual_info,0.03975048982007223,1,2,breast_cancer
f_test,0.03975048982007223,1,2,breast_cancer
pimp,0.026436275942850918,1,2,breast_cancer
shap,0.03975048982007223,1,2,breast_cancer
pearson,0.03975048982007223,1,2,breast_cancer
spearman,0.03975048982007223,1,2,breast_cancer
kendall,0.03975048982007223,1,2,breast_cancer
pps,0.0,1,2,breast_cancer
gini,0.013076449052891403,2,2,breast_cancer
mutual_info,0.026217368594415147,2,2,breast_cancer
f_test,0.026217368594415147,2,2,breast_cancer
pimp,0.013076449052891403,2,2,breast_cancer
shap,0.026217368594415147,2,2,breast_cancer
pearson,0.026217368594415147,2,2,breast_cancer
spearman,0.026217368594415147,2,2,breast_cancer
kendall,0.026217368594415147,2,2,breast_cancer
pps,-0.025974519234014615,2,2,breast_cancer
gini,0.03975048982007223,3,2,breast_cancer
mutual_info,0.026436275942850918,3,2,breast_cancer
f_test,0.026436275942850918,3,2,breast_cancer
pimp,0.026436275942850918,3,2,breast_cancer
shap,0.03975048982007223,3,2,breast_cancer
pearson,0.026436275942850918,3,2,breast_cancer
spearman,0.026436275942850918,3,2,breast_cancer
kendall,0.026436275942850918,3,2,breast_cancer
pps,0.0,3,2,breast_cancer
gini,0.03975048982007223,4,2,breast_cancer
mutual_info,0.026436275942850918,4,2,breast_cancer
f_test,0.03975048982007223,4,2,breast_cancer
pimp,0.03975048982007223,4,2,breast_cancer
shap,0.03975048982007223,4,2,breast_cancer
pearson,0.03975048982007223,4,2,breast_cancer
spearman,0.026436275942850918,4,2,breast_cancer
kendall,0.026436275942850918,4,2,breast_cancer
pps,0.0,4,2,breast_cancer
gini,0.03975048982007223,5,2,breast_cancer
mutual_info,0.026436275942850918,5,2,breast_cancer
f_test,0.03975048982007223,5,2,breast_cancer
pimp,0.026436275942850918,5,2,breast_cancer
shap,0.03975048982007223,5,2,breast_cancer
pearson,0.03975048982007223,5,2,breast_cancer
spearman,0.03975048982007223,5,2,breast_cancer
kendall,0.03975048982007223,5,2,breast_cancer
pps,0.013187382751271626,5,2,breast_cancer
gini,0.03975048982007223,6,2,breast_cancer
mutual_info,0.026436275942850918,6,2,breast_cancer
f_test,0.03975048982007223,6,2,breast_cancer
pimp,0.03909745791497432,6,2,breast_cancer
shap,0.03975048982007223,6,2,breast_cancer
pearson,0.03975048982007223,6,2,breast_cancer
spearman,0.026436275942850918,6,2,breast_cancer
kendall,0.026436275942850918,6,2,breast_cancer
pps,0.0,6,2,breast_cancer
gini,0.053133851459969295,7,2,breast_cancer
mutual_info,0.026436275942850918,7,2,breast_cancer
f_test,0.03975048982007223,7,2,breast_cancer
pimp,0.026436275942850918,7,2,breast_cancer
shap,0.03975048982007223,7,2,breast_cancer
pearson,0.03975048982007223,7,2,breast_cancer
spearman,0.03975048982007223,7,2,breast_cancer
kendall,0.03975048982007223,7,2,breast_cancer
pps,0.0,7,2,breast_cancer
gini,0.026217368594415147,8,2,breast_cancer
mutual_info,0.026217368594415147,8,2,breast_cancer
f_test,0.013076449052891403,8,2,breast_cancer
pimp,0.013076449052891403,8,2,breast_cancer
shap,0.026217368594415147,8,2,breast_cancer
pearson,0.013076449052891403,8,2,breast_cancer
spearman,0.026217368594415147,8,2,breast_cancer
kendall,0.026217368594415147,8,2,breast_cancer
pps,0.013076449052891403,8,2,breast_cancer
gini,0.026217368594415147,9,2,breast_cancer
mutual_info,0.013076449052891403,9,2,breast_cancer
f_test,0.013076449052891403,9,2,breast_cancer
pimp,0.013076449052891403,9,2,breast_cancer
shap,0.026217368594415147,9,2,breast_cancer
pearson,0.013076449052891403,9,2,breast_cancer
spearman,0.026217368594415147,9,2,breast_cancer
kendall,0.026217368594415147,9,2,breast_cancer
pps,-0.01301573921643373,9,2,breast_cancer
gini,1.6396631153048347e-05,0,3,breast_cancer
mutual_info,0.0,0,3,breast_cancer
f_test,0.0,0,3,breast_cancer
pimp,0.0,0,3,breast_cancer
shap,0.0,0,3,breast_cancer
pearson,0.0,0,3,breast_cancer
spearman,1.6396631153048347e-05,0,3,breast_cancer
kendall,1.6396631153048347e-05,0,3,breast_cancer
pps,0.0,0,3,breast_cancer
gini,0.02712285947532722,1,3,breast_cancer
mutual_info,0.013433146002847396,1,3,breast_cancer
f_test,0.013433146002847396,1,3,breast_cancer
pimp,0.013449762892340678,1,3,breast_cancer
shap,0.013433146002847396,1,3,breast_cancer
pearson,0.013433146002847396,1,3,breast_cancer
spearman,0.013433146002847396,1,3,breast_cancer
kendall,0.013433146002847396,1,3,breast_cancer
pps,0.013433146002847396,1,3,breast_cancer
gini,0.013433146002847396,2,3,breast_cancer
mutual_info,0.013433146002847396,2,3,breast_cancer
f_test,0.013433146002847396,2,3,breast_cancer
pimp,0.013433146002847396,2,3,breast_cancer
shap,0.013433146002847396,2,3,breast_cancer
pearson,0.013433146002847396,2,3,breast_cancer
spearman,0.013433146002847396,2,3,breast_cancer
kendall,0.013433146002847396,2,3,breast_cancer
pps,0.0,2,3,breast_cancer
gini,0.026976057658535613,3,3,breast_cancer
mutual_info,0.026976057658535613,3,3,breast_cancer
f_test,0.026976057658535613,3,3,breast_cancer
pimp,0.013363399163629053,3,3,breast_cancer
shap,0.026976057658535613,3,3,breast_cancer
pearson,0.026976057658535613,3,3,breast_cancer
spearman,0.026976057658535613,3,3,breast_cancer
kendall,0.026976057658535613,3,3,breast_cancer
pps,0.026992896606156114,3,3,breast_cancer
gini,0.02712285947532722,4,3,breast_cancer
mutual_info,0.013433146002847396,4,3,breast_cancer
f_test,0.013433146002847396,4,3,breast_cancer
pimp,0.013433146002847396,4,3,breast_cancer
shap,0.013433146002847396,4,3,breast_cancer
pearson,0.013433146002847396,4,3,breast_cancer
spearman,0.013433146002847396,4,3,breast_cancer
kendall,0.013433146002847396,4,3,breast_cancer
pps,0.000417204511311553,4,3,breast_cancer
gini,0.0,5,3,breast_cancer
mutual_info,0.0,5,3,breast_cancer
f_test,0.0,5,3,breast_cancer
pimp,0.0,5,3,breast_cancer
shap,0.0,5,3,breast_cancer
pearson,0.0,5,3,breast_cancer
spearman,0.0,5,3,breast_cancer
kendall,0.0,5,3,breast_cancer
pps,-0.013255088464226739,5,3,breast_cancer
gini,0.013433146002847396,6,3,breast_cancer
mutual_info,0.013433146002847396,6,3,breast_cancer
f_test,0.013433146002847396,6,3,breast_cancer
pimp,0.013433146002847396,6,3,breast_cancer
shap,0.013433146002847396,6,3,breast_cancer
pearson,0.013433146002847396,6,3,breast_cancer
spearman,0.013433146002847396,6,3,breast_cancer
kendall,0.013433146002847396,6,3,breast_cancer
pps,0.00021340505977951452,6,3,breast_cancer
gini,0.02712285947532722,7,3,breast_cancer
mutual_info,0.013433146002847396,7,3,breast_cancer
f_test,0.013433146002847396,7,3,breast_cancer
pimp,0.013433146002847396,7,3,breast_cancer
shap,0.02712285947532722,7,3,breast_cancer
pearson,0.013433146002847396,7,3,breast_cancer
spearman,0.013433146002847396,7,3,breast_cancer
kendall,0.013433146002847396,7,3,breast_cancer
pps,0.013433146002847396,7,3,breast_cancer
gini,0.0,8,3,breast_cancer
mutual_info,1.6396631153048347e-05,8,3,breast_cancer
f_test,0.0,8,3,breast_cancer
pimp,0.0,8,3,breast_cancer
shap,0.0,8,3,breast_cancer
pearson,0.0,8,3,breast_cancer
spearman,1.6396631153048347e-05,8,3,breast_cancer
kendall,1.6396631153048347e-05,8,3,breast_cancer
pps,-0.012843414035620282,8,3,breast_cancer
gini,0.013216920385382913,9,3,breast_cancer
mutual_info,0.013216920385382913,9,3,breast_cancer
f_test,0.013216920385382913,9,3,breast_cancer
pimp,0.013216920385382913,9,3,breast_cancer
shap,0.013216920385382913,9,3,breast_cancer
pearson,0.013216920385382913,9,3,breast_cancer
spearman,0.013216920385382913,9,3,breast_cancer
kendall,0.013216920385382913,9,3,breast_cancer
pps,-0.00021335952777667977,9,3,breast_cancer
gini,0.013304354222222203,0,4,breast_cancer
mutual_info,0.013304354222222203,0,4,breast_cancer
f_test,0.0,0,4,breast_cancer
pimp,0.013304354222222203,0,4,breast_cancer
shap,0.013304354222222203,0,4,breast_cancer
pearson,0.0,0,4,breast_cancer
spearman,0.013304354222222203,0,4,breast_cancer
kendall,0.013304354222222203,0,4,breast_cancer
pps,0.013304354222222203,0,4,breast_cancer
gini,0.0,1,4,breast_cancer
mutual_info,0.013187382751271626,1,4,breast_cancer
f_test,0.0,1,4,breast_cancer
pimp,-0.01312967240966223,1,4,breast_cancer
shap,0.0,1,4,breast_cancer
pearson,0.0,1,4,breast_cancer
spearman,0.013187382751271626,1,4,breast_cancer
kendall,0.013187382751271626,1,4,breast_cancer
pps,0.013187382751271626,1,4,breast_cancer
gini,0.0,2,4,breast_cancer
mutual_info,0.013187382751271626,2,4,breast_cancer
f_test,0.013187382751271626,2,4,breast_cancer
pimp,-0.0013667659051180836,2,4,breast_cancer
shap,0.013187382751271626,2,4,breast_cancer
pearson,0.013187382751271626,2,4,breast_cancer
spearman,0.013187382751271626,2,4,breast_cancer
kendall,0.013187382751271626,2,4,breast_cancer
pps,0.013187382751271626,2,4,breast_cancer
gini,0.026667186584880653,3,4,breast_cancer
mutual_info,0.013304354222222203,3,4,breast_cancer
f_test,0.013304354222222203,3,4,breast_cancer
pimp,0.013304354222222203,3,4,breast_cancer
shap,0.013304354222222203,3,4,breast_cancer
pearson,0.013304354222222203,3,4,breast_cancer
spearman,0.0,3,4,breast_cancer
kendall,0.0,3,4,breast_cancer
pps,0.013304354222222203,3,4,breast_cancer
gini,0.013304354222222203,4,4,breast_cancer
mutual_info,0.013304354222222203,4,4,breast_cancer
f_test,0.013304354222222203,4,4,breast_cancer
pimp,0.013304354222222203,4,4,breast_cancer
shap,0.040092347744533186,4,4,breast_cancer
pearson,0.013304354222222203,4,4,breast_cancer
spearman,0.0,4,4,breast_cancer
kendall,0.0,4,4,breast_cancer
pps,0.011919404379363563,4,4,breast_cancer
gini,0.04045289971460875,5,4,breast_cancer
mutual_info,0.026910636104941155,5,4,breast_cancer
f_test,0.026910636104941155,5,4,breast_cancer
pimp,0.026910636104941155,5,4,breast_cancer
shap,0.04045289971460875,5,4,breast_cancer
pearson,0.026910636104941155,5,4,breast_cancer
spearman,0.04045289971460875,5,4,breast_cancer
kendall,0.04045289971460875,5,4,breast_cancer
pps,0.026910636104941155,5,4,breast_cancer
gini,0.05940594059405946,6,4,breast_cancer
mutual_info,0.05940594059405946,6,4,breast_cancer
f_test,0.05940594059405946,6,4,breast_cancer
pimp,0.05940594059405946,6,4,breast_cancer
shap,0.05940594059405946,6,4,breast_cancer
pearson,0.05940594059405946,6,4,breast_cancer
spearman,0.05940594059405946,6,4,breast_cancer
kendall,0.05940594059405946,6,4,breast_cancer
pps,0.0721783516312926,6,4,breast_cancer
gini,0.026667186584880653,7,4,breast_cancer
