dataset,imp_type,random_state,data_split,fi_order,fi_selected,timings
regr_features_10_samples_100_seed_0,mutual_info,0,4,"[0, 1, 3, 2, 7, 8, 6, 4, 5, 9]","[0, 1]","[0.01722279 0.01288033 0.01433452 0.01222959 0.01242605 0.01289141
 0.01148751 0.01117753 0.01048018 0.0107402 ]"
regr_features_10_samples_100_seed_0,f_test,0,4,"[0, 1, 6, 9, 4, 8, 5, 7, 2, 3]","[0, 1]","[0.00182514 0.00156481 0.00154621 0.00139715 0.00158938 0.00143551
 0.00139789 0.00149504 0.00157495 0.00151022]"
regr_features_10_samples_100_seed_0,pearson,0,4,"[0, 1, 6, 9, 4, 8, 5, 7, 2, 3]","[0, 1]","[0.00203631 0.00166703 0.00145082 0.00140316 0.00133433 0.00131122
 0.00169705 0.00160701 0.00160755 0.00144671]"
regr_features_10_samples_100_seed_0,spearman,0,4,"[1, 0, 6, 4, 3, 8, 7, 5, 9, 2]","[1, 0]","[0.00209778 0.00172866 0.00203405 0.0020978  0.00191365 0.00173119
 0.00176842 0.00210641 0.00184142 0.00179205]"
regr_features_10_samples_100_seed_0,kendall,0,4,"[0, 1, 6, 4, 3, 7, 8, 5, 2, 9]","[0, 1]","[0.0146309  0.0145991  0.01451125 0.0144424  0.01443796 0.01457882
 0.01471398 0.01442489 0.01547743 0.01506971]"
regr_features_10_samples_100_seed_0,pps,0,4,"[7, 2, 9, 6, 5, 8, 4, 1, 3, 0]","[7, 2]","[0.08793119 0.08047957 0.08961211 0.08174816 0.08083784 0.08124839
 0.0827282  0.0823501  0.08150031 0.08246003]"
regr_features_10_samples_100_seed_0,mutual_info,0,5,"[0, 1, 7, 3, 4, 6, 5, 2, 8, 9]","[0, 1]","[0.01542786 0.01208494 0.01380319 0.01228817 0.01290062 0.01172231
 0.01158484 0.01069227 0.01079145 0.01027174]"
regr_features_10_samples_100_seed_0,f_test,0,5,"[0, 1, 6, 9, 7, 8, 2, 5, 3, 4]","[0, 1]","[0.00173165 0.00163944 0.00153558 0.00158004 0.00172684 0.00144252
 0.00138276 0.00139713 0.0013156  0.00147491]"
regr_features_10_samples_100_seed_0,pearson,0,5,"[0, 1, 6, 9, 7, 8, 2, 5, 3, 4]","[0, 1]","[0.00196306 0.00161427 0.00138608 0.00150324 0.00150468 0.00170867
 0.0014816  0.00158041 0.00179437 0.00186461]"
regr_features_10_samples_100_seed_0,spearman,0,5,"[0, 1, 6, 8, 7, 4, 2, 9, 5, 3]","[0, 1]","[0.00218738 0.0020848  0.00190626 0.00175111 0.00189142 0.00205269
 0.00178486 0.00171113 0.00173825 0.00209633]"
regr_features_10_samples_100_seed_0,kendall,0,5,"[0, 1, 6, 8, 7, 4, 9, 2, 3, 5]","[0, 1]","[0.01476009 0.01452406 0.01447908 0.0144306  0.01441072 0.01439269
 0.01442423 0.01450904 0.02159735 0.01519187]"
regr_features_10_samples_100_seed_0,pps,0,5,"[9, 3, 8, 4, 6, 7, 2, 5, 1, 0]","[9, 3]","[0.09143958 0.08256452 0.0910012  0.08333848 0.08346712 0.08287108
 0.08324144 0.08179525 0.08256932 0.08149284]"
regr_features_10_samples_100_seed_0,mutual_info,0,6,"[0, 1, 6, 7, 3, 4, 5, 2, 8, 9]","[0, 1]","[0.01433515 0.01383947 0.01432931 0.01215019 0.0133973  0.01116626
 0.01170492 0.01111616 0.01091953 0.01052619]"
regr_features_10_samples_100_seed_0,f_test,0,6,"[0, 1, 6, 5, 8, 2, 9, 3, 7, 4]","[0, 1]","[0.0021393  0.00161639 0.00152225 0.00148586 0.00151252 0.00160442
 0.00172799 0.00141775 0.00140272 0.00154013]"
regr_features_10_samples_100_seed_0,pearson,0,6,"[0, 1, 6, 5, 8, 2, 9, 3, 7, 4]","[0, 1]","[0.00161345 0.00145882 0.0014164  0.00140013 0.00134622 0.00147465
 0.0014269  0.00158271 0.00174262 0.00174454]"
regr_features_10_samples_100_seed_0,spearman,0,6,"[0, 1, 6, 5, 8, 3, 2, 4, 7, 9]","[0, 1]","[0.00217937 0.00210374 0.00183104 0.00179337 0.00222988 0.00198428
 0.00177248 0.00179745 0.00183572 0.00208411]"
regr_features_10_samples_100_seed_0,kendall,0,6,"[0, 1, 6, 5, 8, 3, 2, 4, 7, 9]","[0, 1]","[0.02414281 0.01461219 0.01462192 0.01472954 0.01464046 0.01462252
 0.01466504 0.01575638 0.01501066 0.01537305]"
regr_features_10_samples_100_seed_0,pps,0,6,"[7, 5, 9, 3, 2, 6, 8, 1, 4, 0]","[7, 5]","[0.08780665 0.08205684 0.09078841 0.08264254 0.08397174 0.08261742
 0.08307942 0.08313021 0.08312605 0.08371674]"
regr_features_10_samples_100_seed_0,mutual_info,0,7,"[0, 1, 3, 2, 4, 7, 8, 5, 6, 9]","[0, 1]","[0.01591778 0.01273855 0.01408976 0.01272499 0.0129351  0.01118344
 0.01124612 0.01101168 0.01084011 0.01089997]"
regr_features_10_samples_100_seed_0,f_test,0,7,"[0, 1, 6, 9, 3, 7, 5, 4, 2, 8]","[0, 1]","[0.00179234 0.00211267 0.00269796 0.00221238 0.00215241 0.0028495
 0.0014003  0.00139646 0.00153305 0.00159929]"
regr_features_10_samples_100_seed_0,pearson,0,7,"[0, 1, 6, 9, 3, 7, 5, 4, 2, 8]","[0, 1]","[0.00165983 0.00138712 0.00186175 0.00144989 0.00148669 0.00147344
 0.00150238 0.00155231 0.00158311 0.0015348 ]"
regr_features_10_samples_100_seed_0,spearman,0,7,"[0, 1, 3, 6, 4, 7, 2, 9, 8, 5]","[0, 1]","[0.00209486 0.00178324 0.00172029 0.0017748  0.00211977 0.00213346
 0.00186968 0.0018098  0.00202887 0.00189631]"
regr_features_10_samples_100_seed_0,kendall,0,7,"[0, 1, 3, 6, 7, 4, 9, 2, 5, 8]","[0, 1]","[0.01494624 0.01457544 0.01459085 0.01452538 0.01459775 0.01456712
 0.01454621 0.0145947  0.01567512 0.01517499]"
regr_features_10_samples_100_seed_0,pps,0,7,"[6, 9, 4, 2, 7, 3, 5, 8, 1, 0]","[6, 9]","[0.0893165  0.08173845 0.09057067 0.08450046 0.08656817 0.09424816
 0.08709348 0.08944085 0.08232763 0.08203203]"
regr_features_10_samples_100_seed_0,mutual_info,0,8,"[0, 1, 6, 7, 4, 8, 3, 2, 5, 9]","[0, 1]","[0.01424246 0.01361352 0.01261973 0.01355509 0.0125666  0.01274523
 0.01141503 0.01166415 0.01077289 0.01085417]"
regr_features_10_samples_100_seed_0,f_test,0,8,"[0, 1, 6, 9, 4, 8, 2, 7, 3, 5]","[0, 1]","[0.00182925 0.00165958 0.00160593 0.00206564 0.00358226 0.00227423
 0.00210533 0.00220933 0.00229036 0.00148738]"
regr_features_10_samples_100_seed_0,pearson,0,8,"[0, 1, 6, 9, 4, 8, 2, 7, 3, 5]","[0, 1]","[0.00175925 0.00142906 0.00149634 0.00151438 0.00160116 0.00135102
 0.00128121 0.00137391 0.00155005 0.00175858]"
regr_features_10_samples_100_seed_0,spearman,0,8,"[0, 1, 4, 6, 8, 3, 2, 9, 7, 5]","[0, 1]","[0.00210504 0.00183969 0.00176984 0.00183189 0.00198173 0.00193813
 0.00179179 0.00174796 0.00171995 0.00194912]"
regr_features_10_samples_100_seed_0,kendall,0,8,"[0, 1, 6, 4, 2, 3, 8, 9, 7, 5]","[0, 1]","[0.01469829 0.01464488 0.01470307 0.01470406 0.01466045 0.0147137
 0.01472475 0.01583007 0.01501553 0.01528591]"
regr_features_10_samples_100_seed_0,pps,0,8,"[6, 5, 9, 7, 8, 2, 3, 4, 1, 0]","[6, 5]","[0.08735909 0.08338915 0.09056064 0.08379461 0.08307506 0.08261178
 0.08298588 0.08293731 0.08406247 0.08308746]"
regr_features_10_samples_100_seed_0,mutual_info,0,9,"[0, 1, 3, 7, 5, 2, 4, 8, 6, 9]","[0, 1]","[0.01468579 0.01200174 0.01408501 0.0123748  0.0125075  0.01208893
 0.01117288 0.0111575  0.01074438 0.01097919]"
