dataset,imp_type,random_state,data_split,fi_order,fi_selected,timings
classif_features_10_samples_100_seed_0,mutual_info,0,4,"[1, 4, 5, 6, 9, 7, 0, 3, 2, 8]","[1, 4]","[0.02295706 0.02319717 0.02338865 0.02062036 0.01995889 0.02009301
 0.01799482 0.01740117 0.01747262 0.01797622]"
classif_features_10_samples_100_seed_0,f_test,0,4,"[1, 4, 5, 6, 7, 0, 9, 2, 8, 3]","[1, 4]","[0.00178491 0.00170506 0.00162603 0.00153704 0.00160748 0.00164281
 0.00183098 0.00172843 0.00175836 0.00159092]"
classif_features_10_samples_100_seed_0,pearson,0,4,"[1, 4, 5, 6, 7, 0, 9, 2, 8, 3]","[1, 4]","[0.00196527 0.00186456 0.00184002 0.00192213 0.00212274 0.00165441
 0.00133929 0.00131659 0.00137707 0.00154612]"
classif_features_10_samples_100_seed_0,spearman,0,4,"[1, 4, 6, 5, 2, 7, 0, 9, 3, 8]","[1, 4]","[0.00241241 0.00217355 0.00219338 0.00228643 0.00190104 0.00175325
 0.00243732 0.00247666 0.00179008 0.00165822]"
classif_features_10_samples_100_seed_0,kendall,0,4,"[1, 4, 6, 5, 2, 7, 0, 9, 3, 8]","[1, 4]","[0.01496374 0.01452285 0.01465393 0.01488707 0.01465704 0.01449392
 0.01579933 0.01470037 0.01460235 0.01521315]"
classif_features_10_samples_100_seed_0,pps,0,4,"[9, 7, 2, 0, 6, 8, 3, 5, 4, 1]","[9, 7]","[0.09658676 0.09759724 0.09196392 0.08759386 0.09084382 0.09371882
 0.08636772 0.09827105 0.09356052 0.09023485]"
classif_features_10_samples_100_seed_0,mutual_info,0,5,"[1, 4, 5, 8, 7, 3, 6, 0, 2, 9]","[1, 4]","[0.02862978 0.0164529  0.0199542  0.0175114  0.01629377 0.01764551
 0.01797514 0.01778659 0.0155286  0.01630203]"
classif_features_10_samples_100_seed_0,f_test,0,5,"[1, 7, 2, 0, 4, 5, 6, 3, 9, 8]","[1, 7]","[0.00180394 0.00160712 0.00169764 0.00149887 0.00174631 0.00158324
 0.00171211 0.00158661 0.00209602 0.00158704]"
classif_features_10_samples_100_seed_0,pearson,0,5,"[1, 7, 2, 0, 4, 5, 6, 3, 9, 8]","[1, 7]","[0.00174297 0.00217275 0.00293802 0.00282164 0.00181114 0.0014318
 0.00133173 0.00131239 0.00133497 0.00138004]"
classif_features_10_samples_100_seed_0,spearman,0,5,"[1, 2, 7, 3, 4, 0, 5, 6, 9, 8]","[1, 2]","[0.00200072 0.00217278 0.00200161 0.00214241 0.00212157 0.00214608
 0.00254149 0.00180173 0.00163807 0.00193689]"
classif_features_10_samples_100_seed_0,kendall,0,5,"[1, 2, 7, 3, 4, 0, 5, 6, 9, 8]","[1, 2]","[0.0152824  0.01484099 0.01466465 0.01478292 0.01486597 0.01478545
 0.01574696 0.01523924 0.01520028 0.01550843]"
classif_features_10_samples_100_seed_0,pps,0,5,"[9, 7, 3, 6, 2, 8, 5, 0, 4, 1]","[9, 7]","[0.09859656 0.09503797 0.09902276 0.09175923 0.08763756 0.10354975
 0.08971379 0.08582118 0.0942117  0.08822979]"
classif_features_10_samples_100_seed_0,mutual_info,0,6,"[1, 4, 5, 7, 6, 0, 2, 3, 8, 9]","[1, 4]","[0.02280784 0.01623907 0.02036252 0.01645617 0.01631879 0.01684043
 0.01523571 0.014538   0.01460796 0.01487333]"
classif_features_10_samples_100_seed_0,f_test,0,6,"[1, 4, 0, 5, 6, 7, 2, 3, 8, 9]","[1, 4]","[0.00148058 0.0014169  0.00152981 0.00133848 0.00120295 0.00122161
 0.00117555 0.00116009 0.00128795 0.00120161]"
classif_features_10_samples_100_seed_0,pearson,0,6,"[1, 4, 0, 5, 6, 7, 2, 3, 8, 9]","[1, 4]","[0.00208721 0.00214382 0.00160525 0.00135678 0.00137534 0.00146654
 0.00134507 0.00139103 0.00132863 0.00124658]"
classif_features_10_samples_100_seed_0,spearman,0,6,"[1, 4, 0, 2, 3, 6, 5, 7, 9, 8]","[1, 4]","[0.00206328 0.00214234 0.00232658 0.00232592 0.00198868 0.00193358
 0.00200893 0.00190801 0.00179492 0.00181522]"
